station,valid,tmpc,drct,sknt,skyc1
ATL,2023-01-01 00:52,14.44,0.00,0.00,FEW
ATL,2023-01-01 01:52,13.89,210.00,5.00,CLR
ATL,2023-01-01 02:52,13.33,230.00,4.00,FEW
ATL,2023-01-01 03:52,13.33,250.00,3.00,FEW
ATL,2023-01-01 04:38,13.33,240.00,7.00,VV 
ATL,2023-01-01 04:47,13.00,230.00,7.00,VV 
ATL,2023-01-01 04:52,13.33,230.00,7.00,VV 
ATL,2023-01-01 05:08,13.33,240.00,7.00,VV 
ATL,2023-01-01 05:20,13.33,260.00,5.00,VV 
ATL,2023-01-01 05:52,13.33,280.00,3.00,VV 
ATL,2023-01-01 06:52,13.89,280.00,5.00,VV 
ATL,2023-01-01 07:52,12.78,0.00,0.00,VV 
ATL,2023-01-01 08:17,12.78,0.00,0.00,VV 
ATL,2023-01-01 08:52,12.78,0.00,0.00,VV 
ATL,2023-01-01 09:52,12.22,0.00,0.00,VV 
ATL,2023-01-01 10:12,12.22,0.00,0.00,VV 
ATL,2023-01-01 10:15,12.22,0.00,0.00,VV 
ATL,2023-01-01 10:52,12.22,0.00,0.00,VV 
ATL,2023-01-01 11:07,12.78,0.00,0.00,VV 
ATL,2023-01-01 11:17,12.22,0.00,0.00,VV 
ATL,2023-01-01 11:43,12.22,0.00,0.00,VV 
ATL,2023-01-01 11:52,12.22,0.00,0.00,VV 
ATL,2023-01-01 12:52,12.22,0.00,0.00,VV 
ATL,2023-01-01 13:49,13.00,200.00,3.00,VV 
ATL,2023-01-01 13:52,12.78,210.00,3.00,VV 
ATL,2023-01-01 13:59,12.78,210.00,4.00,VV 
ATL,2023-01-01 14:37,13.33,260.00,6.00,VV 
ATL,2023-01-01 14:50,13.00,260.00,5.00,OVC
ATL,2023-01-01 14:52,13.33,270.00,6.00,OVC
ATL,2023-01-01 15:36,13.89,260.00,4.00,OVC
ATL,2023-01-01 15:52,13.89,260.00,6.00,OVC
ATL,2023-01-01 16:52,15.56,260.00,5.00,BKN
ATL,2023-01-01 17:02,16.11,240.00,6.00,SCT
ATL,2023-01-01 17:21,17.22,250.00,7.00,BKN
ATL,2023-01-01 17:37,17.22,250.00,7.00,BKN
ATL,2023-01-01 17:52,18.33,M,4.00,BKN
ATL,2023-01-01 18:10,18.89,280.00,7.00,SCT
ATL,2023-01-01 18:52,19.44,310.00,5.00,FEW
ATL,2023-01-01 19:52,20.56,290.00,6.00,FEW
ATL,2023-01-01 20:52,21.11,M,5.00,FEW
ATL,2023-01-01 21:52,20.56,280.00,4.00,FEW
ATL,2023-01-01 22:52,17.78,180.00,3.00,FEW
ATL,2023-01-01 23:52,16.67,180.00,4.00,CLR
ATL,2023-01-02 00:52,15.56,170.00,3.00,CLR
ATL,2023-01-02 01:52,15.00,190.00,3.00,CLR
ATL,2023-01-02 02:52,14.44,200.00,3.00,CLR
ATL,2023-01-02 03:52,13.89,0.00,0.00,CLR
ATL,2023-01-02 04:52,12.22,120.00,3.00,CLR
ATL,2023-01-02 05:52,11.67,0.00,0.00,CLR
ATL,2023-01-02 06:52,11.11,0.00,0.00,FEW
ATL,2023-01-02 07:52,11.11,0.00,0.00,BKN
ATL,2023-01-02 08:20,10.56,0.00,0.00,FEW
ATL,2023-01-02 08:52,10.56,0.00,0.00,SCT
ATL,2023-01-02 09:52,10.56,0.00,0.00,BKN
ATL,2023-01-02 10:52,12.78,0.00,0.00,BKN
ATL,2023-01-02 11:52,12.78,0.00,0.00,BKN
ATL,2023-01-02 12:52,13.33,150.00,3.00,BKN
ATL,2023-01-02 13:52,13.89,200.00,4.00,FEW
ATL,2023-01-02 14:25,14.44,190.00,3.00,BKN
ATL,2023-01-02 14:41,15.56,170.00,4.00,BKN
ATL,2023-01-02 14:52,15.56,190.00,4.00,BKN
ATL,2023-01-02 15:38,16.67,180.00,6.00,BKN
ATL,2023-01-02 15:52,17.22,190.00,6.00,BKN
