station,valid,tmpc,drct,sknt,skyc1
HOU,2023-01-01 00:53,19.44,180.00,7.00,FEW
HOU,2023-01-01 01:53,17.78,180.00,8.00,FEW
HOU,2023-01-01 02:53,17.22,200.00,6.00,FEW
HOU,2023-01-01 03:53,16.67,180.00,8.00,FEW
HOU,2023-01-01 04:53,15.56,170.00,7.00,FEW
HOU,2023-01-01 05:53,15.00,190.00,3.00,FEW
HOU,2023-01-01 06:01,15.00,180.00,4.00,FEW
HOU,2023-01-01 06:08,15.00,0.00,0.00,BKN
HOU,2023-01-01 06:20,15.00,0.00,0.00,VV 
HOU,2023-01-01 06:27,15.00,0.00,0.00,VV 
HOU,2023-01-01 06:51,15.00,140.00,5.05,VV 
HOU,2023-01-01 06:53,15.00,140.00,5.00,VV 
HOU,2023-01-01 07:53,15.00,150.00,4.00,VV 
HOU,2023-01-01 08:30,14.44,130.00,3.00,VV 
HOU,2023-01-01 08:41,15.00,130.00,6.00,SCT
HOU,2023-01-01 08:51,15.00,160.00,5.05,FEW
HOU,2023-01-01 08:53,15.56,150.00,4.00,FEW
HOU,2023-01-01 09:15,15.56,160.00,4.00,BKN
HOU,2023-01-01 09:25,15.56,180.00,3.00,SCT
HOU,2023-01-01 09:53,16.11,170.00,6.00,SCT
HOU,2023-01-01 10:51,17.00,140.00,2.92,SCT
HOU,2023-01-01 10:53,16.67,150.00,3.00,SCT
HOU,2023-01-01 11:08,17.78,160.00,4.00,OVC
HOU,2023-01-01 11:21,17.78,150.00,3.00,VV 
HOU,2023-01-01 11:51,18.00,170.00,4.08,VV 
HOU,2023-01-01 11:53,17.78,170.00,4.00,VV 
HOU,2023-01-01 12:17,17.78,0.00,0.00,VV 
HOU,2023-01-01 12:51,18.00,0.00,0.00,VV 
HOU,2023-01-01 12:53,18.33,0.00,0.00,VV 
HOU,2023-01-01 13:53,18.33,140.00,5.00,VV 
HOU,2023-01-01 14:16,18.89,150.00,4.00,VV 
HOU,2023-01-01 14:44,18.89,140.00,3.00,VV 
HOU,2023-01-01 14:53,18.89,M,5.00,VV 
HOU,2023-01-01 15:49,21.00,180.00,6.00,VV 
HOU,2023-01-01 15:53,20.56,170.00,7.00,VV 
HOU,2023-01-01 16:36,21.11,170.00,7.00,OVC
HOU,2023-01-01 16:51,22.00,170.00,5.05,OVC
HOU,2023-01-01 16:53,21.67,180.00,5.00,OVC
HOU,2023-01-01 17:11,22.22,200.00,9.00,OVC
HOU,2023-01-01 17:53,22.78,180.00,7.00,BKN
HOU,2023-01-01 18:12,23.89,200.00,8.00,SCT
HOU,2023-01-01 18:51,25.00,200.00,9.91,SCT
HOU,2023-01-01 18:53,25.00,200.00,8.00,SCT
HOU,2023-01-01 19:53,26.67,200.00,11.00,FEW
HOU,2023-01-01 20:53,27.22,200.00,12.00,SCT
HOU,2023-01-01 21:53,27.22,200.00,13.00,SCT
HOU,2023-01-01 22:53,25.56,190.00,11.00,SCT
