station,valid,tmpc,drct,sknt,skyc1
LGA,2023-01-01 00:15,7.78,0.00,0.00,VV 
LGA,2023-01-01 00:51,7.78,70.00,3.00,VV 
LGA,2023-01-01 01:51,8.33,0.00,0.00,VV 
LGA,2023-01-01 02:38,8.89,0.00,0.00,OVC
LGA,2023-01-01 02:51,8.33,0.00,0.00,OVC
LGA,2023-01-01 03:51,12.22,240.00,6.00,BKN
LGA,2023-01-01 04:51,12.22,190.00,6.00,BKN
LGA,2023-01-01 05:19,11.67,280.00,3.00,SCT
LGA,2023-01-01 05:51,11.67,220.00,6.00,SCT
LGA,2023-01-01 06:24,12.22,M,3.00,FEW
LGA,2023-01-01 06:51,12.22,250.00,10.00,SCT
LGA,2023-01-01 07:51,12.22,260.00,10.00,SCT
LGA,2023-01-01 08:51,12.22,270.00,9.00,FEW
LGA,2023-01-01 09:51,11.67,250.00,5.00,FEW
LGA,2023-01-01 10:51,11.67,250.00,10.00,FEW
LGA,2023-01-01 11:51,11.11,260.00,8.00,FEW
LGA,2023-01-01 12:51,10.00,300.00,8.00,FEW
LGA,2023-01-01 13:51,10.56,300.00,13.00,FEW
LGA,2023-01-01 14:51,10.56,310.00,11.00,FEW
LGA,2023-01-01 15:51,10.56,320.00,12.00,FEW
LGA,2023-01-01 16:51,10.56,320.00,10.00,FEW
LGA,2023-01-01 17:51,11.11,310.00,16.00,FEW
LGA,2023-01-01 18:51,11.67,310.00,12.00,FEW
LGA,2023-01-01 19:51,11.67,320.00,10.00,FEW
LGA,2023-01-01 20:51,10.56,310.00,9.00,FEW
LGA,2023-01-01 21:51,10.56,340.00,7.00,BKN
LGA,2023-01-01 22:51,10.00,20.00,3.00,FEW
LGA,2023-01-01 23:51,10.00,0.00,0.00,FEW
LGA,2023-01-02 00:51,10.00,260.00,6.00,FEW
LGA,2023-01-02 01:51,10.00,250.00,6.00,SCT
LGA,2023-01-02 02:51,10.56,270.00,6.00,BKN
LGA,2023-01-02 03:51,10.56,280.00,5.00,OVC
LGA,2023-01-02 04:51,10.00,0.00,0.00,BKN
LGA,2023-01-02 05:51,10.00,0.00,0.00,SCT
LGA,2023-01-02 06:51,10.56,300.00,6.00,BKN
LGA,2023-01-02 07:51,10.00,290.00,4.00,SCT
LGA,2023-01-02 08:51,9.44,300.00,5.00,SCT
LGA,2023-01-02 09:51,10.00,260.00,3.00,FEW
LGA,2023-01-02 10:51,10.00,300.00,6.00,FEW
LGA,2023-01-02 11:51,10.00,270.00,3.00,FEW
LGA,2023-01-02 12:51,10.00,260.00,5.00,FEW
LGA,2023-01-02 13:51,10.00,310.00,6.00,FEW
LGA,2023-01-02 14:51,10.00,310.00,6.00,FEW
LGA,2023-01-02 15:51,10.00,310.00,5.00,BKN
LGA,2023-01-02 16:51,11.11,330.00,3.00,BKN
LGA,2023-01-02 17:51,12.78,M,6.00,FEW
LGA,2023-01-02 18:51,13.33,M,3.00,FEW
LGA,2023-01-02 19:51,13.33,230.00,8.00,FEW
LGA,2023-01-02 20:51,12.78,190.00,6.00,FEW
LGA,2023-01-02 21:51,12.22,190.00,6.00,FEW
LGA,2023-01-02 22:51,12.22,210.00,6.00,SCT
LGA,2023-01-02 23:51,12.78,210.00,7.00,FEW
LGA,2023-01-03 00:51,12.78,210.00,8.00,SCT
LGA,2023-01-03 01:51,12.78,220.00,7.00,BKN
LGA,2023-01-03 02:12,12.22,220.00,9.00,BKN
LGA,2023-01-03 02:51,11.67,220.00,3.00,SCT
LGA,2023-01-03 03:51,11.11,180.00,4.00,SCT
LGA,2023-01-03 04:51,11.11,0.00,0.00,OVC
LGA,2023-01-03 05:51,10.56,110.00,4.00,OVC
LGA,2023-01-03 06:51,8.33,60.00,5.00,OVC
LGA,2023-01-03 07:51,6.67,50.00,8.00,OVC
LGA,2023-01-03 08:51,6.67,50.00,6.00,SCT
LGA,2023-01-03 09:16,6.67,60.00,6.00,FEW
LGA,2023-01-03 09:51,6.67,40.00,5.00,SCT
LGA,2023-01-03 10:51,6.67,60.00,8.00,SCT
LGA,2023-01-03 11:27,6.67,60.00,7.00,BKN
LGA,2023-01-03 11:51,6.11,50.00,7.00,BKN
LGA,2023-01-03 12:51,6.67,50.00,8.00,BKN
LGA,2023-01-03 13:51,7.22,30.00,4.00,BKN
LGA,2023-01-03 14:51,8.33,50.00,6.00,BKN
LGA,2023-01-03 15:44,7.78,0.00,0.00,OVC
LGA,2023-01-03 15:51,7.78,0.00,0.00,BKN
LGA,2023-01-03 16:49,9.00,90.00,5.00,BKN
LGA,2023-01-03 16:51,8.89,80.00,5.00,BKN
LGA,2023-01-03 17:00,8.89,50.00,4.00,BKN
LGA,2023-01-03 17:48,8.00,60.00,4.00,SCT
LGA,2023-01-03 17:51,8.33,70.00,4.00,BKN
LGA,2023-01-03 18:14,9.44,0.00,0.00,SCT
LGA,2023-01-03 18:51,11.67,230.00,6.00,FEW
LGA,2023-01-03 19:51,11.67,200.00,7.00,OVC
LGA,2023-01-03 20:04,11.67,190.00,8.00,OVC
LGA,2023-01-03 20:27,11.67,190.00,7.00,OVC
LGA,2023-01-03 20:39,11.67,190.00,6.00,OVC
LGA,2023-01-03 20:51,11.67,190.00,5.00,OVC
LGA,2023-01-03 21:21,11.67,180.00,7.00,OVC
LGA,2023-01-03 21:39,12.78,M,5.00,BKN
LGA,2023-01-03 21:51,12.22,0.00,0.00,BKN
LGA,2023-01-03 22:04,12.78,M,4.00,BKN
LGA,2023-01-03 22:37,11.67,150.00,6.00,SCT
LGA,2023-01-03 22:51,11.11,150.00,5.00,SCT
LGA,2023-01-03 23:23,10.56,0.00,0.00,FEW
LGA,2023-01-03 23:51,10.56,130.00,3.00,FEW
LGA,2023-01-04 00:39,10.56,150.00,4.00,SCT
LGA,2023-01-04 00:51,10.56,150.00,4.00,FEW
LGA,2023-01-04 01:51,10.56,150.00,4.00,FEW
LGA,2023-01-04 02:51,10.56,170.00,4.00,FEW
LGA,2023-01-04 03:51,10.56,180.00,3.00,SCT
LGA,2023-01-04 04:51,10.56,180.00,5.00,FEW
LGA,2023-01-04 05:51,10.56,180.00,7.00,OVC
LGA,2023-01-04 06:34,11.11,180.00,4.00,BKN
LGA,2023-01-04 06:43,10.56,170.00,6.00,FEW
LGA,2023-01-04 06:51,11.11,180.00,4.00,FEW
LGA,2023-01-04 07:27,10.00,0.00,0.00,BKN
LGA,2023-01-04 07:51,12.22,170.00,7.00,OVC
LGA,2023-01-04 08:44,13.33,210.00,9.00,SCT
LGA,2023-01-04 08:51,13.89,210.00,9.00,SCT
LGA,2023-01-04 09:51,13.89,230.00,7.00,OVC
